,Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Prioritas,KMeans_Cluster
0,71,Cat Besi Kuning Nippe 2000,0,0,1.0,0,1,1,47952,2023,1,0
1,9,Plastisin,40,0,19.0,40,-21,19,68324,2023,1,0
2,15,Erlenmeyer 100mL,0,0,2.0,0,2,2,153180,2023,1,0
3,16,Erlenmeyer 250mL,0,0,2.0,0,2,2,88800,2023,1,0
4,3,Spritus,0,0,15.0,0,15,15,539460,2023,0,0
5,83,Contac Cleaner Philips Kering (biru),0,0,15.0,0,15,15,999000,2023,0,0
6,2,Kawat Tembaga 0.7mm,0,0,9.0,0,9,9,4315680,2023,0,0
7,3,Kawat Tembaga 0.75mm,0,0,3.0,0,3,3,1438560,2023,1,0
8,4,Kawat Tembaga 0.8mm,0,0,9.0,0,9,9,4315680,2023,0,0
9,7,Kawat Tembaga 0.25mm,5,0,1.0,5,-4,1,299700,2023,1,0
10,281,Kawat Tembaga 0.30mm,10,0,11.0,10,1,11,3296700,2023,1,0
11,282,Kawat Tembaga 0.35mm,10,0,11.0,10,1,11,3956040,2023,1,0
12,283,Kawat Tembaga 0.40mm,10,0,9.0,10,-1,9,4315680,2023,1,0
13,285,Kawat Tembaga 0.50mm,2,0,9.0,2,7,9,4315680,2023,0,0
14,287,Kawat Tembaga 0.60mm,0,0,9.0,0,9,9,4315680,2023,0,0
15,60,IC STM32F103C8T6,0,0,29.0,0,29,29,3219000,2023,0,0
16,278,Meteran Prohex 5 meter,3,0,0.0,1,-1,2,49500,2023,1,0
17,1,Acrilyc bening 5 mm (2400 x 1200 cm),12,0,8.0,11,-3,9,9411690,2023,1,0
18,2,"Penyangga PCB 6 cm, Kuningan",0,0,69.0,0,69,69,574425,2023,0,0
19,7,Conector Header Putih 8pin,100,0,0.0,0,0,100,150000,2023,0,0
20,8,Ampenol 10 Pin,10,0,99.0,0,99,109,247269,2023,0,0
21,9,Ampenol 16 pin,54,0,99.0,0,99,153,397980,2023,0,0
22,10,Ampenol 20pin,65,0,99.0,0,99,164,928785,2023,0,0
23,11,Ampenol 40 pin,20,0,0.0,0,0,20,500000,2023,0,0
24,14,Antena Radio Kecil,19,0,0.0,0,0,19,1567500,2023,0,0
25,15,Arrow Klip Hitam Kecil,233,0,539.0,56,483,716,1467213,2023,0,2
26,16,Arrow Klip Merah Kecil,13,0,434.0,13,421,434,519932,2023,0,2
27,18,Banana Pin Test,0,0,32.0,0,32,32,1942365,2023,0,0
28,22,Resistor 22K 0.25W,0,0,99.0,0,99,99,71181,2023,0,0
29,23,Resistor 22K 0.5W,0,0,598.0,0,598,598,358202,2023,0,2
30,29,Cap Elect 0.1uF 50V,0,0,99.0,0,99,99,32967,2023,0,0
31,30,Cap Elect 0.22uF 50V,0,0,99.0,0,99,99,54945,2023,0,0
32,33,Cap Elect 100uF 50V,0,0,99.0,0,99,99,38412,2023,0,0
33,35,Cap Elect 10uF 50V,0,0,99.0,0,99,99,32967,2023,0,0
34,36,Cap Elect 1uF 50V,339,0,149.0,200,-51,288,254084,2023,0,2
35,37,Cap Elect 220uF 250V,60,0,0.0,0,0,60,840000,2023,0,0
36,38,Cap Elect 470uF 50V,347,0,0.0,200,-200,147,84700,2023,1,0
37,39,Cap Elect 47uF 250V,66,0,0.0,0,0,66,72600,2023,0,0
