Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Rata2_Mutasi_Keluar,Prioritas,Flow_Category
71,Cat Besi Kuning Nippe 2000,0,0,1.0,0,1,1,47952,2023,0.0,0,1
9,Plastisin,40,0,19.0,40,-21,19,68324,2023,29.5,1,2
15,Erlenmeyer 100mL,0,0,2.0,0,2,2,153180,2023,0.0,0,1
16,Erlenmeyer 250mL,0,0,2.0,0,2,2,88800,2023,0.0,0,1
3,Spritus,0,0,15.0,0,15,15,539460,2023,0.0,0,1
83,Contac Cleaner Philips Kering (biru),0,0,15.0,0,15,15,999000,2023,7.5,0,1
2,Kawat Tembaga 0.7mm,0,0,9.0,0,9,9,4315680,2023,0.0,0,1
3,Kawat Tembaga 0.75mm,0,0,3.0,0,3,3,1438560,2023,0.0,0,1
4,Kawat Tembaga 0.8mm,0,0,9.0,0,9,9,4315680,2023,0.0,0,1
7,Kawat Tembaga 0.25mm,5,0,1.0,5,-4,1,299700,2023,3.0,1,2
281,Kawat Tembaga 0.30mm,10,0,11.0,10,1,11,3296700,2023,10.5,0,2
282,Kawat Tembaga 0.35mm,10,0,11.0,10,1,11,3956040,2023,10.5,0,2
283,Kawat Tembaga 0.40mm,10,0,9.0,10,-1,9,4315680,2023,9.5,1,2
285,Kawat Tembaga 0.50mm,2,0,9.0,2,7,9,4315680,2023,2.0,0,2
287,Kawat Tembaga 0.60mm,0,0,9.0,0,9,9,4315680,2023,0.0,0,1
60,IC STM32F103C8T6,0,0,29.0,0,29,29,3219000,2023,0.0,0,1
278,Meteran Prohex 5 meter,3,0,0.0,1,-1,2,49500,2023,0.5,0,1
1,Acrilyc bening 5 mm (2400 x 1200 cm),12,0,8.0,11,-3,9,9411690,2023,10.0,1,2
2,"Penyangga PCB 6 cm, Kuningan",0,0,69.0,0,69,69,574425,2023,0.0,0,1
7,Conector Header Putih 8pin,100,0,0.0,0,0,100,150000,2023,0.0,0,0
8,Ampenol 10 Pin,10,0,99.0,0,99,109,247269,2023,0.0,0,1
9,Ampenol 16 pin,54,0,99.0,0,99,153,397980,2023,0.0,0,1
10,Ampenol 20pin,65,0,99.0,0,99,164,928785,2023,0.0,0,1
11,Ampenol 40 pin,20,0,0.0,0,0,20,500000,2023,0.0,0,0
14,Antena Radio Kecil,19,0,0.0,0,0,19,1567500,2023,0.0,0,0
15,Arrow Klip Hitam Kecil,233,0,539.0,56,483,716,1467213,2023,297.5,0,2
16,Arrow Klip Merah Kecil,13,0,434.0,13,421,434,519932,2023,13.0,0,2
18,Banana Pin Test,0,0,32.0,0,32,32,1942365,2023,16.0,0,1
22,Resistor 22K 0.25W,0,0,99.0,0,99,99,71181,2023,0.0,0,1
23,Resistor 22K 0.5W,0,0,598.0,0,598,598,358202,2023,299.0,0,1
29,Cap Elect 0.1uF 50V,0,0,99.0,0,99,99,32967,2023,49.5,0,1
30,Cap Elect 0.22uF 50V,0,0,99.0,0,99,99,54945,2023,0.0,0,1
33,Cap Elect 100uF 50V,0,0,99.0,0,99,99,38412,2023,49.5,0,1
35,Cap Elect 10uF 50V,0,0,99.0,0,99,99,32967,2023,49.5,0,1
36,Cap Elect 1uF 50V,339,0,149.0,200,-51,288,254084,2023,244.0,0,2
37,Cap Elect 220uF 250V,60,0,0.0,0,0,60,840000,2023,0.0,0,0
38,Cap Elect 470uF 50V,347,0,0.0,200,-200,147,84700,2023,66.66666666666667,0,1
39,Cap Elect 47uF 250V,66,0,0.0,0,0,66,72600,2023,0.0,0,0
40,Cap FL 4.5uF 250VAC 50-60,1,0,0.0,0,0,1,880,2023,0.0,0,0
41,Cap Keramik 10kP,106,0,99.0,0,99,205,298301,2023,49.5,0,1
42,Cap Keramik 220kP 50V,184,0,0.0,0,0,184,414000,2023,75.0,0,0
44,Cap Milar 100N,100,0,69.0,0,69,169,241590,2023,34.5,0,1
46,Cap Milar 2.2kP,0,0,99.0,0,99,99,10989,2023,0.0,0,1
51,Cap Poly 220kP 250V,132,0,0.0,0,0,132,297000,2023,50.0,0,0
53,Cap Elect 0.1uF 100V,40,0,0.0,0,0,40,880000,2023,0.0,0,0
54,Cap Elect 0.1uF 400V,39,0,0.0,0,0,39,78000,2023,0.0,0,0
55,Cap Elect 100uF 10V,38,0,0.0,0,0,38,33440,2023,0.0,0,0
56,Cap Elect 10uF 10V,25,0,0.0,0,0,25,22000,2023,0.0,0,0
58,Cap Elect 22uF 250V,20,0,0.0,0,0,20,40000,2023,0.0,0,0
60,Cap Elect 33uF 250V,20,0,0.0,0,0,20,44000,2023,0.0,0,0
61,Cap Elect 470uF 250V,19,0,0.0,0,0,19,418000,2023,0.0,0,0
63,Cap Elect 680uF 250V,19,0,0.0,0,0,19,1615000,2023,0.0,0,0
66,Cap Tantalum 10uF 25V,14,0,99.0,0,99,113,471060,2023,49.5,0,1
67,Cap Tantalum 22nF Non Pol,0,0,99.0,0,99,99,2197800,2023,0.0,0,1
68,Cap Tantalim Multilayer 0.1uF 50V,42,0,99.0,0,99,141,424170,2023,49.5,0,1
72,Coil 20 mH,0,0,19.0,0,19,19,1898100,2023,0.0,0,1
73,Conector BNC - RAG,86,0,0.0,0,0,86,253098,2023,0.0,0,0
74,Conector BNC Probe,50,0,0.0,0,0,50,1402500,2023,25.0,0,0
75,Conector DB 9,40,0,39.0,0,39,79,327870,2023,0.0,0,1
77,Conector Header Putih 2P,17,0,0.0,0,0,17,11220,2023,0.0,0,0
78,Conector RJ 45,192,0,1549.0,0,1549,1741,3297165,2023,870.5,0,1
79,Conector RJ 11,4,0,0.0,0,0,4,1320,2023,0.0,0,0
83,Resistor 220Ohm 0.25W,0,0,99.0,0,99,99,71181,2023,49.5,0,1
84,Cover Conector DB 9,132,0,0.0,0,0,132,8712000,2023,0.0,0,0
85,Cover Conector DB 25,58,0,0.0,0,0,58,92220,2023,0.0,0,0
87,Diac 30V,0,0,29.0,0,29,29,32190,2023,14.5,0,1
88,Diac HT 32,30,0,0.0,0,0,30,135000,2023,0.0,0,0
91,Diode IN 1508,20,0,0.0,0,0,20,23000,2023,0.0,0,0
92,Diode IN 34A,0,0,49.0,0,49,49,299145,2023,24.5,0,1
97,Diode 20A,7,0,29.0,0,29,36,496860,2023,14.5,0,1
98,Diode 2A,208,0,0.0,0,0,208,343200,2023,100.0,0,0
101,Diode Bridge 30A,3,0,9.0,0,9,12,65484,2023,4.5,0,1
103,Diode IN 4002,429,0,199.0,0,199,628,174604,2023,199.5,0,1
104,Diode IN 4004,24,0,0.0,0,0,24,5280,2023,0.0,0,0
105,Diode IN 4007,594,0,49.0,0,49,643,141375,2023,321.5,0,1
106,Diode IN 4148,461,0,329.0,0,329,790,137939,2023,264.5,0,1
107,Diode IN 60,0,0,199.0,0,199,199,110445,2023,99.5,0,1
108,Diode Silicon 3A  1N5402,45,0,9.0,5,4,49,43465,2023,7.0,0,2
109,Diode Zener 24V,288,0,0.0,0,0,288,55584,2023,0.0,0,0
110,Diode Zener 5.1V,0,0,149.0,0,149,149,82695,2023,74.5,0,1
111,Diode Zener 6.2V,218,0,199.0,0,199,417,470145,2023,0.0,0,1
116,Fitting Lamp Keramik,5,0,0.0,0,0,5,36740,2023,0.0,0,0
117,Fuse Besar 1A,217,0,0.0,0,0,217,143220,2023,0.0,0,0
118,Fuse Besar 2A,300,0,0.0,0,0,300,422200,2023,0.0,0,0
120,Fuse Besar 3A,447,0,0.0,0,0,447,295020,2023,2.5,0,0
