No Dokumen,Tgl Dok,Kode Barang,Nama Barang,Jumlah,Keterangan,Tahun
023180500677604001KD202200001K,2022-01-04,1.01.02.04.048.000219,Isolasi National 5milsx3 4,1.0,Keperluan Labolatorium TST,2022
023180500677604001KD202200001K,2022-01-04,1.01.03.06.003.000001,Stop Kontak 5LB,10.0,Keperluan Labolatorium TST,2022
023180500677604001KD202200001K,2022-01-04,1.01.03.06.003.000003,"Stop Kontak 2Lb, Broco",1.0,Keperluan Labolatorium TST,2022
023180500677604001KD202200001K,2022-01-04,1.01.03.06.005.000002,Steker GB Germany,10.0,Keperluan Labolatorium TST,2022
023180500677604001KD202200001K,2022-01-04,1.01.03.06.999.000179,Klem Kabel No.10,1.0,Keperluan Labolatorium TST,2022
023180500677604001KD202200002K,2022-01-04,1.01.02.04.048.000866,Isolasi Kertas,2.0,Keperluan Unit Rumah Tangga,2022
023180500677604001KD202200002K,2022-01-04,1.01.02.04.048.001307,Lem Silicone Sealent ( refil ) G2000,1.0,Keperluan Unit Rumah Tangga,2022
023180500677604001KD202200002K,2022-01-04,1.01.03.06.001.000242,Kabel Serabut NYMHY 3x2.5mm supreme,2.0,Keperluan Unit Rumah Tangga,2022
023180500677604001KD202200002K,2022-01-04,1.01.03.06.003.000551,"Stop Kontak 6Lb, ground",1.0,Keperluan Unit Rumah Tangga,2022
023180500677604001KD202200002K,2022-01-04,1.01.03.06.005.000002,Steker GB Germany,1.0,Keperluan Unit Rumah Tangga,2022
023180500677604001KD202200003K,2022-01-14,1.01.03.06.999.000559,T Sambungan Putih,1.0,Keperluan Parkir D3,2022
023180500677604001KD202200004K,2022-01-14,1.01.02.04.048.001670,IC UC 3843,12.0,Keperluan Labolatorium Bengkel Elmek,2022
023180500677604001KD202200004K,2022-01-14,1.01.02.04.048.001687,Soket IC 18 pin,1.0,Keperluan Labolatorium Bengkel Elmek,2022
023180500677604001KD202200005K,2022-01-17,1.01.03.06.999.000559,T Sambungan Putih,1.0,Keperluan Unit Arsiparis,2022
023180500677604001KD202200006K,2022-01-17,1.01.03.06.001.000008,"Kabel Kitani Serabut 0.84mm, Hijau, Kuning",2.0,Keperluan Labolatorium Gambar Teknik,2022
023180500677604001KD202200006K,2022-01-17,1.01.03.06.001.000009,"Kabel Kitani Serabut 1mm Hitam, Merah",1.0,Keperluan Labolatorium Gambar Teknik,2022
023180500677604001KD202200008K,2022-01-24,1.01.03.06.001.000242,Kabel Serabut NYMHY 3x2.5mm supreme,6.0,Keperluan Lab. Sensor Device S2,2022
023180500677604001KD202200008K,2022-01-24,1.01.03.06.003.000549,"Stop Kontak 3Lb, ground",1.0,Keperluan Lab. Sensor Device S2,2022
023180500677604001KD202200008K,2022-01-24,1.01.03.06.005.000002,Steker GB Germany,2.0,Keperluan Lab. Sensor Device S2,2022
023180500677604001KD202200009K,2022-01-26,1.01.03.06.001.000242,Kabel Serabut NYMHY 3x2.5mm supreme,7.0,Keperluan Unit Kearsipan,2022
023180500677604001KD202200009K,2022-01-26,1.01.03.06.003.000003,"Stop Kontak 2Lb, Broco",3.0,Keperluan Unit Kearsipan,2022
023180500677604001KD202200009K,2022-01-26,1.01.03.06.003.000549,"Stop Kontak 3Lb, ground",3.0,Keperluan Unit Kearsipan,2022
023180500677604001KD202200009K,2022-01-26,1.01.03.06.005.000002,Steker GB Germany,3.0,Keperluan Unit Kearsipan,2022
023180500677604001KD202200009K,2022-01-26,1.01.03.06.999.000559,T Sambungan Putih,2.0,Keperluan Unit Kearsipan,2022
023180500677604001KD202200011K,2022-02-04,1.01.03.06.001.000050,Kabel Roll (10M),1.0,Keperluan Unit Rumah Tangga,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000104,Diode IN 4004,3.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000104,Diode IN 4004,47.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000233,Penyangga PCB 1 cm,80.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000233,Penyangga PCB 1 cm,20.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000262,Penyangga PCB 3cm Kuningan,100.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000263,Penyangga PCB 2cm kuningan,100.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000388,Photo Diode,60.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000388,Photo Diode,40.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000417,Push Button 4 Pin,65.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.000630,Transistor BD 139,20.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.001028,IC L298,20.0,Keperluan Lab. Kendaraan Robotik,2022
023180500677604001KD202200012K,2022-02-08,1.01.02.04.048.001624,"Buzzer 5V, bulat, diameter 2 cm, tinggi 1 cm",20.0,Keperluan Lab. Kendaraan Robotik,2022
